Description,Institution,Job Category,Job Title,Location,URL
"Why American Express?There’s a difference between having a job and making a difference.American Express has been making a difference in people’s lives for over 160 years,backing them in moments big and small, granting access, tools, and resources to takeon their biggest challenges and reap the greatest rewards.We’ve also made a difference in the lives of our people, providing a culture of learningand collaboration, and helping them with what they need to succeed and thrive. Wehave their backs as they grow their skills, conquer new challenges, or even take time tospend with their family or community. And when they’re ready to take on a new careerpath, we’re right there with them, giving them the guidance and momentum into thebest future they envision.Because we believe that the best way to back our customers is to back our people.The powerful backing of American Express.Don’t make a difference without it.Don’t live life without it.
Position Summary Corresponding to strong focus on SME acquisition in GCS, this position is responsible for seeking, developing and executing new acquisition channel for SBS/Corporate in any offline spaces and also optimizing the existing offline channels to be more efficient. It is strongly essential on this position to work closely with other GCS marketing member first and SME sales, local/regional GCS teams, and other internal/external stakeholders.      Key responsibilities;   1. Build prospect marketing plan on SME segment in offline environment. 2. Develop and execute new SME acquisition activities by leveraging internal and external resources. 3. Analyze and optimize the existing offline channels by working closely with other marketing members.  4. Track and monitor the KPI for offline acquisition channels to maintain/improve the activities and to identify opportunities for driving business. 5. Working closely with immediate manager for handling projects which offline marketing needs to be involved. 6.  Manage the respective (Offline Prospect Marketing) investment effectively by tracking and analyzing investment usage periodically.  Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations.
 QualificationsCritical Challenges/ Unique Knowledge &
Skills
 
1. Marketing
background primary on offline (Sales/Non-Sales) acquisition space, preferable
on digital space also. 
2. Solid
execution skills with good project management experience.  
3. Strong
track record of delivering results and demonstrating sense of urgency.
4. Good
interpersonal skills: effective communication and relationship building across
various groups.  
5. Creative
and innovative thinking with analytical approach.
6. Strong
will for driving business.
7. Japanese
native and basic business level English required (written and oral).
ReqID: 18019672Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 4, 2019, 4:38:14 AM",American Express,"
 Digital Commerce
, 
 Marketing",Offline Marketing - Marketing Executive,"

To, Japan",https://jobs.americanexpress.com/jobs/18019672?lang=en-us&previousLocale=en-US
"Why American Express?There’s a difference between having a job and making a difference.
 
American Express has been making a difference in people’s lives for over 160 years,backing them in moments big and small, granting access, tools, and resources to takeon their biggest challenges and reap the greatest rewards.
 
We’ve also made a difference in the lives of our people, providing a culture of learningand collaboration, and helping them with what they need to succeed and thrive. Wehave their backs as they grow their skills, conquer new challenges, or even take time tospend with their family or community. And when they’re ready to take on a new careerpath, we’re right there with them, giving them the guidance and momentum into thebest future they envision.
 
Because we believe that the best way to back our customers is to back our people.
 
The powerful backing of American Express.Don’t make a difference without it.Don’t live life without it.
 
 
 Scope (ATL/BTL)

 
- Strategy development, initiatives planning, creative brief development, and assets creation for brand communication, product communication, and brand experience, based on the project brief from internal clients
 
- Branding guide governance, consultation for application, constructive critique, interpretation training for the enterprise level consistency and quality 
 
- Inventory management of global creative assets
 
- Strategic alignment with the central & local lob key stakeholders
 
- Localization of global creative strategy and assets
 
- Creative assets production management
 
- Creative evaluation planning, fielding, analysis, and implications synthesis
 
- Performance kpi setting, tracking and reporting
 
- Creative agency management
 
 
Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations.
 Qualifications
*Competency
 
- Act as a conduit of brand guide for the enterprise
 
- Be a connective tissue between central and local business unit
 
- Distill data and information into the sharp consumer insights
 
- Transform creative concept to the bold expressions
 
- Deep knowledge of range of creative evaluation methodologies
 
- Strong analytical, logical thinking, facilitation, and negotiation skills
 
- Keen sense of the language and design, and attention to details
 
- Multi tasking
 
- Commitment for quality and on-time delivery
 
- Professional network/access to the external creative service providers and partners
 
- “with it” on the creative break throughs, capabilities and talents ReqID: 19001972Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 4, 2019, 4:13:34 AM",American Express,"
 Digital Commerce
, 
 Marketing",Creative Management Manager,"

To, Japan",https://jobs.americanexpress.com/jobs/19001972?lang=en-us&previousLocale=en-US
"Why American Express?There’s a difference between having a job and making a difference.
American Express has been making a difference in people’s lives for over 160 years,backing them in moments big and small, granting access, tools, and resources to takeon their biggest challenges and reap the greatest rewards.
We’ve also made a difference in the lives of our people, providing a culture of learningand collaboration, and helping them with what they need to succeed and thrive. Wehave their backs as they grow their skills, conquer new challenges, or even take time tospend with their family or community. And when they’re ready to take on a new careerpath, we’re right there with them, giving them the guidance and momentum into thebest future they envision.
Because we believe that the best way to back our customers is to back our people.
The powerful backing of American Express.Don’t make a difference without it.Don’t live life without it.
 
Job Description:
This position is responsible for co-brand product-line strategy development and partnership management, such as implementing marketing programs, negotiating both with the internal and external stakeholders for loyalty engagement, spend stimulation, and card member retention. 
The responsibility will also include product enhancement and new product development to explore the business opportunities in new segments. 
The incumbent is required to understand the product value, financials, and customer satisfaction through end to end process, working closely with various cross functional teams.
 
Job responsibilities are: 
- Develop marketing plans and programs and/or enhance the products, analyze customer needs, competitive activities and market environment to provide the superior value as competitive in the market place. 
- Negotiate with external business partners to develop/improve existing product value propositions for the best-in-class products.
- Work closely with card sales team and pull acquisition team on products acquisition. Provide marketing supports to acquisition programs such as acquisition offers and sales manual. 
- Collaborate well with the internal stakeholders such as the call centers, technology, merchant partnership teams, to ensure the superior customer experiences at all customer contact points from end-to-end process aiming the high customer satisfaction.
- Track and monitor marketing investment, other financials, and the products profitability, working with Finance, Risk management, and procurement teams.
 
Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations.QualificationsQualifications:
- Excellent B to B negotiation/relationship management skills including partnership management
- Solid marketing skills and understanding of Japan market and customers
- Strong track record of driving result, ability to execute multiple initiatives under tight schedule
- Analytical skills and data driven, but also with the creative thinking
- Innovative and flexible approach to resolve unexpected problems 
- Excellent team player – build consensus and bring focus in a cross functional environment 
- Good communication skill in both English and JapaneseReqID: 19001975Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 4, 2019, 3:50:51 AM",American Express,"
 Digital Commerce
, 
 Marketing",Assistant Manager,"

To, Japan",https://jobs.americanexpress.com/jobs/19001975?lang=en-us&previousLocale=en-US
"This is a Band 28 requisition.Why American Express?There’s a difference between having a job and making a difference.American Express has been making a difference in people’s lives for over 160 years,backing them in moments big and small, granting access, tools, and resources to takeon their biggest challenges and reap the greatest rewards.We’ve also made a difference in the lives of our people, providing a culture of learningand collaboration, and helping them with what they need to succeed and thrive. Wehave their backs as they grow their skills, conquer new challenges, or even take time tospend with their family or community. And when they’re ready to take on a new careerpath, we’re right there with them, giving them the guidance and momentum into thebest future they envision.Because we believe that the best way to back our customers is to back our people.The powerful backing of American Express.Don’t make a difference without it.Don’t live life without it.JOB DESCRIPTION:Key responsibilities include, but are not limited to the following:Analyze risk on customer accounts, making sound decisions to ensure collections while maintaining high customer satisfaction levels via VOCM scores.Ability to hold a conversation and negotiate with the customer to ensure maximum collection on CM accounts through inbound/ outbound telephone contact.Meet metrics on VOCM, Quality, Contact Rate and Collection. Ability to work in a 24X7 shift environment. This role may be subject to additional background verification checksQualificationsQUALIFICATION:Graduate with 1-3 years of experienceMulti-skilled across card platforms/products is preferable.Should display a penchant for Result Orientation & Personal Accountability. Excellent Interpersonal, Relationship Building, Presentation & Communication Skills (Written & Verbal).Should possess sound Analytical, Decision Making and Problem Solving Skills.Proficiency in MS Office - Excel, PowerPoint and Word preferred.Strong Team Player with high level of integrity.Strong Knowledge of American Express Product, Policies & Procedures. Change Management Ability & self-motivating skills.Demonstrated ability to work effectively within a team environment as well as independently.The Candidate should not be on any form of active counseling at the time of applicationCandidate should have a YE Rating of G3 L3 or better Language: English ReqID: 19002063Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 4, 2019, 3:23:27 AM",American Express,"
 Customer Care
, 
 Risk Management",Team Member Credit & Collect,"

Gurgaon, India",https://jobs.americanexpress.com/jobs/19002063?lang=en-us&previousLocale=en-US
"
Der Marketing Executive (m/w) Consumer Card Acquisition ist Mitglied des Consumer Card Acquisition Teams im Geschäftsbereich der Konsumentenkarten in Deutschland und Österreich und unterstützt in dieser Position aktiv unsere Wachstumsstrategie. Diese Aufgabe beinhaltet die Umsetzung von Marketingmaßnahmen (online/offline) zur Gewinnung von Neukunden bei bestehenden und neuen Partnerschaften sowie der Implementierung technischer Lösungen die zum Absatz von proprietären und Payback American Express Karten über Online und POS Kanäle führen. Diese Position ist verantwortlich für die erfolgreiche Umsetzung und Betreuung aller Kampagnen in enger Absprache mit dem Manager Loyalty and Coalition Partnerships & Network Acquisition.  
 
Im Detail beinhaltet dies auch:


Strategische Entwicklung von neuen Kundenincentives und technische Umsetzung
Operative Vorbereitung von Kampagnen
Entwicklung und Umsetzung von Prozessoptimierungen mit Fokus auf Steigerung von Abschlussquoten und verbesserter Kundenerfahrung
Eigenverantwortliche Aufsicht und Abstimmung mit den technischen Abteilungen zur Implementierung aller akquisitionsgetriebenen Implementierungen
Auswertung von Kampagnenergebnissen und entsprechende Aufbereitung für Management Präsentationen
Enge Zusammenarbeit mit internen operativen Abteilungen und Überwachung der SLA
Selbständige Planung und Steuerung von Projekten
Erschließen von Synergien im lokalen Markt durch gemeinsames Vorgehen im Team und anderen American Express Abteilungen
Unterstützung bei Budgetplanung und -verwaltung


This role may be subject to additional background verification checks.
 
 
Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations. Qualifications



 Abschluss eines betriebswirtschaftlichen Studiums (Uni/FH/MBA) oder
eine abgeschlossene Berufsausbildung und mindestens 5 Jahre Berufserfahrung in vergleichbarer Position oder mindestens 3 Jahre Berufserfahrung und Zusatzqualifikationen
Starkes Organisationstalent
Sehr gute analytische Fähigkeiten
Hohes Maß an Genauigkeit
Sehr gute Kommunikationsfähigkeit/Interpersonal Skills
Gutes Verständnis für ökonomische Zusammenhänge
Verhandlungssicheres Englisch/ Deutsch in Wort und Schrift
Hohe Eigenmotivation, Dynamik, Teamgeist, professionelles Auftreten, hohe Belastbarkeit
Verständnis für andere Kulturen, Mentalitäten und Umgangsformen

 
Bitte beachten Sie, dass Sie maximal 4 Dokumente mit maximal jeweils 488 kb beifügen können.
ReqID: 19001905Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 4, 2019, 3:12:21 AM",American Express,"
 Digital Commerce
, 
 Marketing","Marketing Executive Consumer Card Acquisition (m/f), Frankfurt am Main","

Frankfurt, Germany",https://jobs.americanexpress.com/jobs/19001905?lang=en-us&previousLocale=en-US
"Why American Express?
There’s a difference between having a job and making a difference.
 
American Express has been making a difference in people’s lives for over 160 years, backing them in moments big and small, granting access, tools, and resources to take on their biggest challenges and reap the greatest rewards. 
We’ve also made a difference in the lives of our people, providing a culture of learning and collaboration, and helping them with what they need to succeed and thrive. We have their backs as they grow their skills, conquer new challenges, or even take time to spend with their family or community. And when they’re ready to take on a new career path, we’re right there with them, giving them the guidance and momentum into the best future they envision.
 
Because we believe that the best way to back our customers is to back our people.
 
The powerful backing of American Express.
Don’t make a difference without it.
Don’t live life without it.
 
SERVICE DELIVERY ANALYST
 
The Technology Digital Workplace (DW) team provides and supports the tools and products that American Express use to manage their day-to-day work.  One of the key components of our vision is Digital Dexterity; our aim is to reduce issues & increase efficiencies by automating, predicting and prioritizing technical requirements for our internal colleagues.   
 
The Service Delivery Analyst will work closely with the Director and Service Delivery Manager on DW technical delivery & support, Site Services Projects and daily operations. In this role, you will liaise with diverse American ExpressTechnology and Vendor teams, Project Managers and key Business stakeholders to support Digital Workplace strategy, implementation and changes. 
 
Functions/Responsibilities

Acts as a liaison between the Technology teams, business partners and Global Infrastructure teams to provide technical solutions to meet business requirements. 
Leads internal technicians while effectively managing relationships and requirements with internal & external business partners. 
Contributes to the technical direction of platform(s), providing consulting expertise, leveraging business and technical knowledge to support business strategies and deliver business value.
Ensures appropriate levels of communication occur between Technology and Business partners with regard to delivery or service level impacts.
Responsible for overseeing issue resolution and facilitating closure of any technical or customer relationship issues.
Works with business and technical partners to develop and evaluate business objectives and develop supporting business case for infrastructure projects.
Works with internal architects to identify technical solutions and business process improvements which are in line with the strategic direction.
Responsible for managing one or more highly complex technical projects where internal or external business partners are included as a key constituent for project success. 
Ensures that platform(s) supported meet the business, technical and infrastructure needs by overseeing the health and well-being of the infrastructure.
Manages (monitors and addresses) third parties work in terms of quality and adherence to standards.
Utilizes appropriate reporting tools (e.g. Clarity) to monitor and track portfolio(s) against delivery, cost, budget, forecast, schedule and quality targets.
Develops tactical methodologies, enhances / maintains processes, and ensures compliance to standardized processes across the organization.
Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulationsQualificationsQualifications
 

10+ years of experience with Advance/Expert level knowledge of EUC technology
Knowledge of best practices in ITIL environment
Adept with Call Center technologies such as call routing, recording 
Familiarity with project management methodologies
Experience with Active Directory management is a plus
Strong knowledge and experience in software and applications management and troubleshooting
High level of productivity, analytical ability, attention to detail, accuracy and excellent organization skills
Ability to work well with vendors and at all levels of the organization
Excellent communication skills 
Broad AXP product knowledge; understanding of business trends and regulatory environment.
Strong communication skills (both written and spoken)
 
Education 
 

Typically holds a Bachelor's or Master's degree in Computer Science, or other related field (or has equivalent work experience)
10+ years of experience with Advance/Expert level knowledge of End User Computing technologyReqID: 19002146Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 4, 2019, 2:44:21 AM",American Express,"
 Digital Commerce
, 
 Technology",Service Delivery Analyst,"

Bonifacio Global City, Philippines",https://jobs.americanexpress.com/jobs/19002146?lang=en-us&previousLocale=en-US
"We’re looking for an Engineering Director, Mobile to drive the delivery of new features and capabilities of the American Express global membership app via innovative technology tools and practices. We want someone with strong technical skills and creativity. Should enjoy solving tough problems and working with new technologies. You should not be shy about sharing your ideas, and be obsessive about user experience and beautiful code. You’ll be part of the Mobile Engineering team whose mandate is to develop new products and platforms for American Express customers. Mobile Engineering’s aim is to build interactive experiences at all touch points of a consumer's journey whether before, at, or after the time of purchase. Your primary responsibilities will be to lead a team of engineers developing mobile applications that will be used by tens of millions of American Express cardholders around the world. You should be familiar with modern software development methodologies, and be able to dive deep and rapidly iterate on ideas despite ambiguity. You’ll be working in a fast-paced environment with the stability of working for a Fortune 100 company. This leader will encompass a unique blend of strong leadership and an in-depth engineering skillset especially with modern application development technologies. Responsibilities: • Responsible for the people management of a co-located engineering team • Drive innovation and manage product development teams within a fast-paced agile environment • Cultivate an environment of continuous engineering improvement through mentoring, feedback, and metrics • Recruit technology professionals with business and industry experience, and develop, reward and energize a competent, effective team within the technology organization. • Manage and/or lead software development teams, obtaining necessary resources, acting as an escalation point and removing impediments to achieve goals and objectives • Engage in hands-on design and ensure alignment of strategy, architecture, tools/methods with software engineers and architects to execute product roadmaps • Collaborate with a wide variety of stakeholders within business and technology teams to drive change required to execute product roadmaps • Coach, guide and promote creation of high quality, clearly documented, and compliant deliverables across engineering teams. • Enable integrated teams to deliver technology solutions in support of key product initiatives by working closely with product managers, technical project managers, architects, engineers, and quality assurance • Collaborate within and across business units to prioritize, plan, and execute the development schedule for major product releases QualificationsRequired Skills: • Experience managing software engineering teams designing and building software products in a fast-paced, complex and dynamic software development environment • Extensive hands-on experience building and managing the development of complex, large scale applications and products that require a deep understanding of application logic and dependencies • Experience attracting, hiring retaining and leading top engineering talent • Prior experience building out consumer-facing platforms for the web with high performance and high scalability • Experience with Agile, Scrum or other rapid application development methodologies is required • University Degree in computer science, or engineering-related field required Preferred: • Experience in mobile iOS and Android app development • Proficiency in Java programming American Express has been awarded Aon Hewitt Best Employer Singapore six times. Join us and you’ll soon see why. As an employee, you can expect challenging work, with purpose. Be more than just your job. Be the voice of inspiration and transform the way the world does business for a living. By joining American Express, you are choosing to become a part of the dynamic team that is recognized as Singapore's ""Best Employer 2018"". Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations. Why American Express? There’s a difference between having a job and making a difference. American Express has been making a difference in people’s lives for over 160 years, backing them in moments big and small, granting access, tools, and resources to take on their biggest challenges and reap the greatest rewards. We’ve also made a difference in the lives of our people, providing a culture of learning and collaboration, and helping them with what they need to succeed and thrive. We have their backs as they grow their skills, conquer new challenges, or even take time to spend with their family or community. And when they’re ready to take on a new career path, we’re right there with them, giving them the guidance and momentum into the best future they envision. Because we believe that the best way to back our customers is to back our people. The powerful backing of American Express. Don’t make a difference without it. Don’t live life without it.ReqID: 19001992Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 4, 2019, 2:29:58 AM",American Express,"
 Digital Commerce
, 
 Technology","Engineering Director, Mobile","

Singapore",https://jobs.americanexpress.com/jobs/19001992?lang=en-us&previousLocale=en-US
"As a Senior Quality Engineer, you will be leading and driving Resiliency and Performance testing efforts for the next generation of Platform-as-a-Service for American Express. You will be working closely with our Software Engineers, Business Partners and Systems Engineers and have an opportunity to work with multitude of tools and technologies.
 
Responsibilites:
•Perform in-depth testing, which may include running destructive and load tests in order to determine the resiliency and high availability of the Enterprise Cloud Platform
•Simulate workloads, network, and software conditions needed to test resiliency, reliability & availability of the platform.
•Capture performance metrics to baseline the system performance under load.
•Predict performance and identify bottlenecks that could arise in the production environment.
•Demonstrate coding expertise to develop and maintain test tools and frameworks to validate integration and functional API tests.
•Through utilization of the software testing lifecycle, develop test plans, cases and scripts against platform testing scenarios providing analysis and reporting on the results.Qualifications•7+ years of experience as Software Development Engineer in Test or as Automation Quality engineer
• 3+ years of experience as Resiliency and Performance test engineer 
• 3+ years hands-on test automation experience (Java preferred) 
•1+ year experience testing & automating REST API’s
• 1+ Experience hands-on experience with cloud technologies and Platforms (Docker, Kubernetes, OpenShift, AWS, Azure, GCP).ReqID: 19002142Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 4, 2019, 2:14:12 AM",American Express,"
 Digital Commerce
, 
 Technology",Senior Engineer II,"

Bangalore, India",https://jobs.americanexpress.com/jobs/19002142?lang=en-us&previousLocale=en-US
"The Partnerships Marketing team is a significant driver of value to Consumer Card Members within the American Express franchise.  The team is dedicated to delivering best in class marketing experiences to grow American Express card holders and increase the amount of spending on those cards.   This Analyst/Sr Analyst will be responsible for developing, coordinating, and executing the acquisition strategy for our Marriott cobrand partnership.
 
This is an exciting opportunity for an Analyst/ Sr. Analyst who will support the team at a transformational time.  This role will primarily focus on supporting new Card Member acquisition offer strategy; developing, executing, and maintaining offers in the partner channels, including digital, phone, and print channels. This role provides significant channel management responsibilities for an analyst and a unique opportunity to drive strong business results and thought leadership. An ideal candidate will be interested in a balance of core operational functions and relationship management (internal and external partners), with excitement to join a team focused on driving results and value to our Card Members.QualificationsJob Responsibilities:
 

Manage end to end campaign execution for digital and offline channels
Support landing pages / applications improvements
Manage quarterly compliance review process
Support customer experience efforts
Ownership of campaign calendar, campaign and channel reporting, forecasting & budgeting
Become a team leader in driving change and creating efficiency in job
Support the management of the day-to-day relationships and processes with key cross-functional partners such as: Product teams, Technology, Legal, Compliance, Finance, Capabilities, Brand Teams, Creative Governance, and Marketing Partners.
Qualifications:

2-3 years of marketing experience preferred
Desire to join a high-profile, results-oriented and dynamic team
Self-motivator who takes initiative, learns, follows-up, and identifies new approaches
Positive attitude: solutions orientation and commitment to success
Passion for “solving puzzles” and simplifying complex issues
Ability to build and leverage strong relationships to influence partners
Strong organizational and analytical skills with keen attention to detail
Ability to multitask and operate effectively under changing conditions
Clear written and verbal communication
BA/BS RequiredEmployment
eligibility to work with American Express in the U.S. is required as the
company will not pursue visa sponsorship for these positions.Why American Express:
 
There’s
a difference between having a job and making a difference.
 
American Express has
been making a difference in people’s lives for over 160 years, backing them in
moments big and small, granting access, tools, and resources to take on their
biggest challenges and reap the greatest rewards.
 
We’ve also made a
difference in the lives of our people, providing a culture of learning and
collaboration, and helping them with what they need to succeed and thrive. We
have their backs as they grow their skills, conquer new challenges, or even
take time to spend with their family or community. And when they’re ready to
take on a new career path, we’re right there with them, giving them the
guidance and momentum into the best future they envision.
 
Because we believe
that the best way to back our customers is to back our people.
 
The powerful backing
of American Express.
Don’t make a
difference without it.
Don’t live life
without it.ReqID: 19001950Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 4, 2019, 12:01:00 AM",American Express,"
 Digital Commerce
, 
 Marketing","Analyst/Sr Analyst, Marriott Acquisition Marketing","

New York, New York",https://jobs.americanexpress.com/jobs/19001950?lang=en-us&previousLocale=en-US
"Skilled people power companies.We architect their development.The Senior Instructional Designer is a self-starter who develops multi-modality learning solutions to support leadership and business skill development needs across the enterprise. In addition, the Senior Instructional Designer supports learning data analysis, evaluation protocols, content inventory, content curation, marketing of learning, and administrative and program management of learning solutions.  On occasion, the Senior Instructional Designer will deliver instruction.Making learning relevant and transferrable is vital to success.What you will be doing:Design and develop innovative learning solutions which include web-based training, game-based learning, business simulations, performance support tools, experiential learning, and team-based activities.Initiate and drive evaluation protocols for learning solutions.Analyze content and learning data and draw insights to drive marketing plans; execute the marketing plans.Review and assess off-the-shelf learning content and solutions to determine the best fit for enterprise needs.Maintain inventories of learning content.Curate content into meaningful learning sequences.Monitor and drive engagement of our Learning Community of Practice social site.Stay abreast of industry standard learning solutions, specifically multi-media instructional solutions. Support the administrative needs of our Assessment and Coaching programs.Deliver classroom/virtual instruction on occasion.Qualifications5+ years of related experienceUS Company Hub location preferred: NYC, Phoenix, Fort Lauderdale, Salt Lake City.Bachelor’s degree or higher preferred.Awareness of latest L&D trends, theories, frameworks, and evaluation protocols that align with the needs of the digital learner.Experience developing soft skills, professional development, leadership development, and business skills learning solutions to meet the needs of global audiences.Proficiency with industry standard authoring and multimedia development tools (Adobe Suite), and experience with rapid/agile Instructional Design techniques.Ability to manage social learning technology to deliver L&D interventions, sustain learning, and foster knowledge sharing.Experience working with and managing third party suppliers when developing/curating content.Demonstrated analytical skills to draw insights from data.Outstanding communication skills.Experience delivering both in-person and virtual instructor-led training.Demonstrated proficiency with MS Office skills, especially advanced skills with Excel. Graphic Design and UI/UX experience a plus Employment eligibility to work with American Express in the U.S. is required as the company will not pursue visa sponsorship for these positions.Why American Express:
 
There’s
a difference between having a job and making a difference.
 
American Express has
been making a difference in people’s lives for over 160 years, backing them in
moments big and small, granting access, tools, and resources to take on their
biggest challenges and reap the greatest rewards.
 
We’ve also made a
difference in the lives of our people, providing a culture of learning and
collaboration, and helping them with what they need to succeed and thrive. We
have their backs as they grow their skills, conquer new challenges, or even
take time to spend with their family or community. And when they’re ready to
take on a new career path, we’re right there with them, giving them the
guidance and momentum into the best future they envision.
 
Because we believe
that the best way to back our customers is to back our people.
 
The powerful backing
of American Express.
Don’t make a
difference without it.
Don’t live life
without it.ReqID: 19000464Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 4, 2019, 12:01:00 AM",American Express,"
 Customer Care
, 
 Operations",Senior Instructional Designer,"
Multiple 
New York, New York; Salt Lake City, Utah; Phoenix, Arizona; Sunrise, Florida",https://jobs.americanexpress.com/jobs/19000464?lang=en-us&previousLocale=en-US
"
The US Consumer Marketing team is responsible for strategy,
development and execution of marketing to acquire new and grow existing US Card
Members within the Consumer Card portfolio. The Prospect Site team delivers best-in-class
digital marketing and card shopping experiences to efficiently convert visitors
to new Card members on Americanexpress.com. As the Analyst/Senior Analyst, you will have an
exciting opportunity to work on the fast-paced and high-performing Digital
Prospect Site Acquisition Marketing team as we evolve our On-site Marketing
strategy. 

You will play a critical role in driving bottom line business results
on Americanexpress.com by enhancing targeting and maximizing efficiency. In
this role you will support the optimization of our channel marketing
strategy, own forecasting, and own the marketing analytics for the Prospect
Site team. This role requires a highly analytical, creative, and strategic
thinker with proven experience of delivering digital results. A work hard, play hard mentality coupled
with an eagerness to learn are characteristics of a successful candidate.
 
Key responsibilities
include:
Deriving insights through
monitoring and reporting on KPIs including traffic, acquisitions, trends and rankingsPartnering closely with internal
teams such as Investment Strategy and Enterprise Digital & Analytics  to QA and synthesize reporting data and
forecasting outputsDeveloping monthly
acquisition reporting and presentations for Leadership; in addition to managing
channel forecasting and budgeting activitiesAssisting with the development of strategic briefs and site visual
identities to inform the optimization of our on-site UX (i.e. through the Card
Shop journey)Managing cross-functional
relationships across internal partners including Site Content Marketing, Enterprise
Digital & Analytics, Legal/Compliance, Brand, and Product teams Maintaining vendor
relationships
QualificationsBachelor’s degree
required; MS Excel and Adobe Analytics experience a plus1-2 years of digital
marketing and/or web/ marketing analytics experiencePassion for
customer-centric strategies and experiencesStrong mix of analytical
and problem-solving skills; comfortable managing large data sets and deriving
insightsDemonstration of strength
in organizational skills with relentless attention to detailCreative team player
mentality to drive over-arching team goalsSelf-starter with an
ability to navigate a large matrixed organization independently Healthy curiosity for
trends, insights, and new developments in the digital landscapeExcellent verbal and written communication skills


Employment eligibility to work with American Express in the U.S. is required as the company will not pursue visa sponsorship for these positions.Why American Express: There’s
a difference between having a job and making a difference. American Express has
been making a difference in people’s lives for over 160 years, backing them in
moments big and small, granting access, tools, and resources to take on their
biggest challenges and reap the greatest rewards. We’ve also made a
difference in the lives of our people, providing a culture of learning and
collaboration, and helping them with what they need to succeed and thrive. We
have their backs as they grow their skills, conquer new challenges, or even
take time to spend with their family or community. And when they’re ready to
take on a new career path, we’re right there with them, giving them the
guidance and momentum into the best future they envision. Because we believe
that the best way to back our customers is to back our people. The powerful backing
of American Express.Don’t make a
difference without it.
Don’t live life
without it.
ReqID: 19002123Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 4, 2019, 12:01:00 AM",American Express,"
 Digital Commerce
, 
 Marketing","Analyst/ Senior Analyst, Prospect Site Strategic Marketing & Planning","

New York, New York",https://jobs.americanexpress.com/jobs/19002123?lang=en-us&previousLocale=en-US
"American Express Global Commercial Services (GCS) offers powerful backing and financial support to business clients of all sizes. The GCS US Small and Medium Enterprise (US SME) Marketing team strives to provide our customers with the world’s best customer experience every day to ensure that we are essential partners to our clients and win the full share of their business.  GCS partners with leading enterprises to create and deliver unique, powerful value to customers. The Partner Marketing Programs team's mission is to harness partner-based value propositions to grow and retain customer relationships. The Director, Partner Marketing Programs is responsible for leading a high performing team to ensure we bring the best of American Express to our customers, everyday. The Director will lead a team of six employees (including four direct reports).  Specific responsibilities include: Deliver holistic, integrated, and innovative marketing programs to deepen and profitably grow customer relationships - this includes delivering strategies to drive step change improvement in the engagement and retention of our US SME Cobrand Card Members - such as Delta, Amazon and Marriott. Evolve holistic strategy of how GCS should best leverage partner-based value to improve customer satisfaction and revenue contribution within key segmentsPartner closely with Customer Engagement Programs team to introduce and deliver the best of American Express to our customers, everydayLead cross-enterprise collaboration to ensure partner marketing best practices are evolved and shared to ensure Blue Box successPartner closely with internal teams to help support and grow our partnerships with external partnersDevelop the next generation of exceptional leaders for American Express QualificationsExceptional ability to build and grow relationships with internal and external partnersAn excellent leader who excels at getting the best out of people Excellent verbal and written communication skills with proven ability to influence and rally a diverse group of peer- and senior- stakeholders behind a compelling visionResults oriented – history of exceeding goals in a fast-paced environmentDeep analytical skills and working knowledge of marketing channelsA strong strategist with demonstrated ability to drive innovation and change to unlock growth opportunities for our customers and AXPProven ability to create a strong sense of priority and structure for the team and appropriately align a diverse set stakeholder expectations to best support these plansA strong sense of humor, flexible mindset, and someone who wants to have fun is a MUSTAn exceptional sense of ownership and accountabilityMBA preferredDepending on factors such as
business unit requirements, the nature of the position, cost and applicable
laws, American Express may provide visa sponsorship for certain
positions. 
ReqID: 19002035Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 3, 2019, 11:19:25 PM",American Express,"
 Digital Commerce
, 
 Marketing","Director, Customer Marketing - Partner Programs","

New York, New York",https://jobs.americanexpress.com/jobs/19002035?lang=en-us&previousLocale=en-US
